lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
the,127283,the=127283,0,2,0,0,0,0,0,127281
be,76267,be=21511; is=19864; are=12287; was=10625; were=7075; been=3535; being=1289; am=79; bees=2,0,0,31,76236,0,0,0,0
to,64684,to=64535; na=143; ta=6,0,0,0,0,0,0,0,64684
of,57086,of=57086,0,0,0,0,0,404,0,56682
a,44330,a=44330,344,180,0,0,0,2,0,43804
in,40968,in=40966; ins=2,6,2,0,0,0,131,0,40829
and,38429,and=38429,0,0,0,0,0,0,0,38429
that,31993,that=31993,0,0,0,0,0,143,12050,19800
have,20652,have=12904; had=3656; has=3623; having=468; haves=1,2,0,468,20182,0,0,0,0
it,20267,it=20267,2,3,0,0,0,0,20262,0
they,18231,they=14732; them=3499,0,0,0,0,0,0,18231,0
for,17114,for=17114,0,0,1,0,0,0,0,17113
do,16095,do=6438; does=5507; did=3329; doing=426; done=395,2,0,822,15271,0,0,0,0
not,14370,not=14368; nt=2,0,0,0,0,0,0,0,14370
i,13444,i=12317; me=1127,1,12,0,0,0,0,13431,0
on,12703,on=12703,1,2,0,0,0,164,0,12536
you,12212,you=12212,0,2,0,0,0,0,12210,0
student,10327,student=7396; students=2931,9431,890,5,0,1,0,0,0
about,9771,about=9771,0,2,0,0,25,689,0,9055
with,9655,with=9655,0,0,0,0,0,0,0,9655
as,9382,as=9382,0,0,0,0,0,1495,0,7887
what,9360,what=9360,1,0,0,0,0,0,8413,946
from,9357,from=9357,0,0,0,0,0,0,0,9357
professor,9110,professor=8904; professors=206,6674,2435,1,0,0,0,0,0
by,9075,by=9075,3,0,0,0,0,27,0,9045
this,9055,this=9055,0,0,0,0,0,0,0,9055
an,8652,an=8652,0,0,0,0,0,0,0,8652
can,7804,can=7307; ca=483; cans=13; canned=1,20,0,1,7783,0,0,0,0
but,7735,but=7735,0,0,0,0,0,0,0,7735
their,7727,their=7727,0,0,0,0,0,0,7726,1
so,7710,so=7710,0,0,0,0,1,6571,0,1138
at,7012,at=7012,0,0,0,0,0,293,0,6719
or,6532,or=6532,0,0,0,0,0,0,0,6532
use,6522,use=2647; used=2434; using=1272; uses=169,939,15,5568,0,0,0,0,0
we,6483,we=5680; us=803,0,0,0,0,0,0,6483,0
make,6279,make=2705; made=2207; making=737; makes=630,7,0,6272,0,0,0,0,0
more,6187,more=6187,0,0,0,0,2694,3493,0,0
some,6091,some=6091,0,0,0,0,0,3,0,6088
will,5976,will=5752; wo=221; wills=3,11,1,0,5964,0,0,0,0
would,5692,would=5692,0,0,0,5692,0,0,0,0
other,5609,other=4906; others=703,703,2,0,0,4904,0,0,0
well,5591,well=3961; better=939; best=675; wells=15; welling=1,32,6,1,0,588,2634,0,2330
one,5408,one=5073; ones=335,722,16,1,0,0,0,89,4580
time,5377,time=4816; times=552; timing=5; timed=4,5357,10,10,0,0,0,0,0
there,5300,there=5300,0,0,0,0,0,1139,4161,0
how,5282,how=5282,1,0,0,0,0,0,0,5281
he,5230,he=4653; him=577,0,4,0,0,0,0,5226,0
when,5086,when=5086,0,0,0,0,0,0,0,5086
passage,5006,passage=4987; passages=19,4641,365,0,0,0,0,0,0
which,4979,which=4979,0,0,0,0,0,0,0,4979
why,4713,why=4713,0,0,0,0,0,0,0,4713
than,4709,than=4709,0,0,0,0,0,0,0,4709
people,4610,people=4486; peoples=124,4550,60,0,0,0,0,0,0
like,4540,like=4431; liked=59; likes=45; liking=5,4,0,807,0,114,1,0,3614
these,3910,these=3910,0,1,0,0,0,0,0,3909
could,3799,could=3799,0,0,0,3799,0,0,0,0
all,3776,all=3773; alls=3,3,2,0,0,0,550,0,3221
your,3720,your=3710; yours=10,10,0,0,0,0,0,3710,0
she,3708,she=3325; her=383,0,0,0,0,0,0,3708,0
think,3651,think=2465; thought=706; thinking=250; thinks=230,2,0,3649,0,0,0,0,0
know,3646,know=2431; known=900; knew=156; knows=103; knowing=56,1,0,3643,0,0,0,0,2
if,3600,if=3598; ifs=2,0,0,2,0,0,0,0,3598
work,3554,work=2229; working=592; works=491; worked=242,1703,13,1836,0,2,0,0,0
because,3431,because=3431,0,0,0,0,0,6,0,3425
get,3410,get=2149; got=555; getting=399; gets=261; gotten=46,3,1,3406,0,0,0,0,0
out,3409,out=3406; outing=2; outs=1,1,0,2,0,3,160,0,3243
new,3398,new=3351; newer=38; newest=9,0,422,0,0,2976,0,0,0
water,3378,water=3170; waters=195; watered=10; watering=3,3285,66,26,0,1,0,0,0
class,3345,class=2807; classes=538,3324,17,4,0,0,0,0,0
where,3251,where=3251,1,0,0,0,0,0,0,3250
most,3239,most=3239,0,6,0,0,1566,1667,0,0
different,3209,different=3209,0,3,0,0,3206,0,0,0
its,3151,its=3151,0,0,0,0,0,0,3151,0
see,3118,see=2308; seen=376; saw=275; seeing=140; sees=19,3,0,3111,0,0,0,0,4
year,3090,years=1905; year=1185,3080,10,0,0,0,0,0,0
find,3078,found=1577; find=1242; finding=186; finds=73,35,0,3043,0,0,0,0,0
way,3075,way=2121; ways=954,3032,9,0,0,0,34,0,0
good,3057,good=1616; best=966; goods=475,496,59,0,0,2495,3,0,4
lecture,3047,lecture=2996; lectures=49; lecturing=2,3029,8,9,0,1,0,0,0
many,2976,many=2976,0,2,0,0,2974,0,0,0
sentence,2968,sentence=2438; sentences=530,2956,12,0,0,0,0,0,0
animal,2942,animals=2074; animal=868,2920,16,2,0,4,0,0,0
plant,2870,plants=1684; plant=1083; planted=56; planting=47,2660,17,193,0,0,0,0,0
up,2853,up=2839; ups=14,33,0,0,0,2,157,0,2661
take,2839,take=1475; took=447; taking=407; taken=318; takes=192,3,0,2836,0,0,0,0,0
now,2806,now=2806,0,0,0,0,0,2796,0,10
