lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
the,13058,the=13058,0,0,0,0,0,0,0,13058
be,8621,is=2937; be=2282; are=1678; was=935; were=358; been=300; being=110; am=21,0,0,1,8620,0,0,0,0
to,8149,to=8148; na=1,0,0,0,0,0,0,0,8149
a,6560,a=6560,286,156,0,0,0,0,0,6118
of,4689,of=4689,0,0,0,0,0,30,0,4659
and,4550,and=4550,0,0,0,0,0,0,0,4550
in,3923,in=3921; ins=2,5,1,0,0,0,24,0,3893
you,2953,you=2953,0,0,0,0,0,0,2953,0
it,2661,it=2661,1,3,0,0,0,0,2657,0
i,2521,i=2314; me=207,1,10,0,0,0,0,2510,0
for,2498,for=2498,0,0,0,0,0,0,0,2498
that,2435,that=2435,0,0,0,0,0,16,942,1477
do,2370,do=929; does=855; did=521; doing=36; done=29,0,0,65,2305,0,0,0,0
have,2357,have=1522; has=539; had=252; having=43; haves=1,1,0,43,2313,0,0,0,0
what,1769,what=1769,0,0,0,0,0,0,1625,144
on,1562,on=1562,1,0,0,0,0,10,0,1551
they,1561,they=1285; them=276,0,0,0,0,0,0,1561,0
an,1479,an=1479,0,0,0,0,0,0,0,1479
can,1388,can=1337; ca=51,1,0,0,1387,0,0,0,0
not,1360,not=1360,0,0,0,0,0,0,0,1360
will,1350,will=1329; wo=21,2,1,0,1347,0,0,0,0
with,1335,with=1335,0,0,0,0,0,0,0,1335
fill,1322,fill=1306; filled=12; filling=3; fills=1,216,1081,25,0,0,0,0,0
response,1320,response=1301; responses=19,1303,17,0,0,0,0,0,0
time,1309,time=1256; times=52; timing=1,1304,4,1,0,0,0,0,0
about,1303,about=1303,0,2,0,0,3,45,0,1253
student,1220,student=789; students=431,1179,39,1,0,1,0,0,0
blank,1189,blank=1081; blanks=108,108,0,0,0,1081,0,0,0
this,1045,this=1045,0,0,0,0,0,0,0,1045
at,1036,at=1036,0,0,0,0,0,18,0,1018
make,995,make=621; made=158; making=137; makes=79,1,0,994,0,0,0,0,0
by,972,by=972,0,0,0,0,0,1,0,971
as,906,as=906,0,0,0,0,0,118,0,788
sentence,854,sentence=818; sentences=36,842,12,0,0,0,0,0,0
good,845,best=599; good=229; goods=17,18,1,0,0,825,1,0,0
how,835,how=835,0,0,0,0,0,0,0,835
listen,812,listen=754; listening=50; listened=6; listens=2,0,0,812,0,0,0,0,0
your,800,your=797; yours=3,3,0,0,0,0,0,797,0
some,779,some=779,0,0,0,0,0,0,0,779
second,764,seconds=732; second=32,733,0,0,0,30,1,0,0
or,756,or=756,0,0,0,0,0,0,0,756
why,756,why=756,0,0,0,0,0,0,0,756
from,749,from=749,0,0,0,0,0,0,0,749
use,745,use=345; used=224; using=152; uses=24,142,5,598,0,0,0,0,0
item,710,item=652; items=58,494,216,0,0,0,0,0,0
their,701,their=701,0,0,0,0,0,0,701,0
we,666,we=571; us=95,0,0,0,0,0,0,666,0
like,652,like=628; likes=17; liked=6; liking=1,3,0,223,0,18,0,0,408
more,621,more=621,0,0,0,0,240,381,0,0
class,618,class=529; classes=89,608,8,2,0,0,0,0,0
new,600,new=594; newer=4; newest=2,0,18,0,0,582,0,0,0
question,593,questions=514; question=78; questioning=1,587,0,6,0,0,0,0,0
choose,587,choose=563; choosing=10; chose=9; chosen=4; chooses=1,0,3,584,0,0,0,0,0
speaker,586,speaker=558; speakers=28,563,23,0,0,0,0,0,0
one,545,one=525; ones=20,71,11,0,0,0,0,12,451
she,541,she=475; her=66,0,0,0,0,0,0,541,0
he,528,he=482; him=46,0,0,0,0,0,0,528,0
prompt,525,prompt=520; prompting=3; prompted=2,172,348,5,0,0,0,0,0
transcript,524,transcript=523; transcripts=1,4,520,0,0,0,0,0,0
work,524,work=305; working=131; works=56; worked=32,216,4,304,0,0,0,0,0
study,520,study=360; studying=75; studies=71; studied=14,363,3,154,0,0,0,0,0
help,496,help=323; helps=112; helping=32; helped=29,77,7,412,0,0,0,0,0
word,491,word=468; words=23,131,360,0,0,0,0,0,0
which,489,which=489,0,0,0,0,0,0,0,489
my,487,my=487,0,0,0,0,0,0,472,15
but,485,but=485,0,0,0,0,0,0,0,485
woman,485,woman=469; women=16,485,0,0,0,0,0,0,0
man,483,man=478; men=4; manned=1,482,0,1,0,0,0,0,0
complete,479,completed=385; complete=90; completing=4,0,1,426,0,52,0,0,0
conversation,479,conversation=465; conversations=14,478,1,0,0,0,0,0,0
need,473,need=332; needs=83; needed=57; needing=1,110,0,362,1,0,0,0,0
people,473,people=468; peoples=5,467,6,0,0,0,0,0,0
other,471,other=328; others=143,143,0,0,0,328,0,0,0
these,469,these=469,0,0,0,0,0,0,0,469
think,458,think=353; thought=56; thinking=38; thinks=11,0,0,458,0,0,0,0,0
when,438,when=438,0,0,0,0,0,0,0,438
please,420,please=419; pleased=1,1,0,1,0,0,0,0,418
change,413,change=212; changes=122; changed=45; changing=34,269,8,136,0,0,0,0,0
passage,397,passage=394; passages=3,397,0,0,0,0,0,0,0
its,386,its=386,0,0,0,0,0,0,386,0
there,380,there=380,0,0,0,0,0,142,238,0
talk,378,talk=347; talking=23; talked=7; talks=1,303,1,74,0,0,0,0,0
go,375,go=154; going=144; went=45; goes=17; gone=14; gon=1,2,5,368,0,0,0,0,0
researcher,375,researcher=241; researchers=134,375,0,0,0,0,0,0,0
take,373,take=216; taking=81; took=34; taken=27; takes=15,1,0,372,0,0,0,0,0
bank,371,bank=371,371,0,0,0,0,0,0,0
appropriate,367,appropriate=367,0,0,0,0,367,0,0,0
if,365,if=365,0,0,0,0,0,0,0,365
would,362,would=362,0,0,0,362,0,0,0,0
campus,359,campus=358; campuses=1,340,18,0,0,1,0,0,0
know,358,know=247; known=94; knows=11; knew=3; knowing=3,0,0,358,0,0,0,0,0
well,350,well=211; better=118; best=21,4,3,0,0,75,187,0,81
than,347,than=347,0,0,0,0,0,0,0,347
university,341,university=337; universities=4,297,43,0,0,1,0,0,0
so,340,so=340,0,0,0,0,0,271,0,69
only,329,only=329,0,1,0,0,25,303,0,0
all,328,all=328,0,0,0,0,0,28,0,300
say,327,says=147; say=137; said=40; saying=3,0,0,321,0,0,0,0,6
answer,326,answer=314; answers=7; answered=4; answering=1,23,0,303,0,0,0,0,0
research,323,research=320; researched=2; researching=1,305,11,7,0,0,0,0,0
art,322,art=306; arts=16,308,14,0,0,0,0,0,0
provide,321,provide=189; provides=51; providing=46; provided=35,0,1,320,0,0,0,0,0
who,321,who=321,0,0,0,0,0,0,321,0
text,320,text=314; texts=6,8,0,183,0,0,0,0,129
our,316,our=316,0,0,0,0,0,0,316,0
no,307,no=307,5,64,0,0,0,33,0,205
out,301,out=298; outing=2; outs=1,1,0,2,0,0,14,0,284
social,301,social=301,1,14,0,0,285,1,0,0
up,301,up=297; ups=4,13,0,0,0,0,18,0,270
online,300,online=300,5,1,0,0,200,94,0,0
where,298,where=298,0,0,0,0,0,0,0,298
most,291,most=291,0,0,0,0,102,189,0,0
ask,287,ask=249; asked=24; asking=11; asks=3,1,1,285,0,0,0,0,0
get,287,get=194; got=40; getting=33; gets=18; gotten=2,0,1,286,0,0,0,0,0
music,287,music=287,277,10,0,0,0,0,0,0
professor,285,professor=273; professors=12,255,30,0,0,0,0,0,0
interviewer,284,interviewer=284,284,0,0,0,0,0,0,0
also,283,also=283,0,0,0,0,0,283,0,0
