lemma,count,observed_forms,noun,proper_noun,verb,auxiliary,adjective,adverb,pronoun,other
the,114225,the=114225,0,2,0,0,0,0,0,114223
be,67646,be=19229; is=16927; are=10609; was=9690; were=6717; been=3235; being=1179; am=58; bees=2,0,0,30,67616,0,0,0,0
to,56535,to=56387; na=142; ta=6,0,0,0,0,0,0,0,56535
of,52397,of=52397,0,0,0,0,0,374,0,52023
a,37770,a=37770,58,24,0,0,0,2,0,37686
in,37045,in=37045,1,1,0,0,0,107,0,36936
and,33879,and=33879,0,0,0,0,0,0,0,33879
that,29558,that=29558,0,0,0,0,0,127,11108,18323
have,18295,have=11382; had=3404; has=3084; having=425,1,0,425,17869,0,0,0,0
it,17606,it=17606,1,0,0,0,0,0,17605,0
they,16670,they=13447; them=3223,0,0,0,0,0,0,16670,0
for,14616,for=14616,0,0,1,0,0,0,0,14615
do,13725,do=5509; does=4652; did=2808; doing=390; done=366,2,0,757,12966,0,0,0,0
not,13010,not=13008; nt=2,0,0,0,0,0,0,0,13010
on,11141,on=11141,0,2,0,0,0,154,0,10985
i,10923,i=10003; me=920,0,2,0,0,0,0,10921,0
you,9259,you=9259,0,2,0,0,0,0,9257,0
student,9107,student=6607; students=2500,8252,851,4,0,0,0,0,0
professor,8825,professor=8631; professors=194,6419,2405,1,0,0,0,0,0
from,8608,from=8608,0,0,0,0,0,0,0,8608
as,8476,as=8476,0,0,0,0,0,1377,0,7099
about,8468,about=8468,0,0,0,0,22,644,0,7802
with,8320,with=8320,0,0,0,0,0,0,0,8320
by,8103,by=8103,3,0,0,0,0,26,0,8074
this,8010,this=8010,0,0,0,0,0,0,0,8010
what,7591,what=7591,1,0,0,0,0,0,6788,802
so,7370,so=7370,0,0,0,0,1,6300,0,1069
but,7250,but=7250,0,0,0,0,0,0,0,7250
an,7173,an=7173,0,0,0,0,0,0,0,7173
their,7026,their=7026,0,0,0,0,0,0,7025,1
can,6416,can=5970; ca=432; cans=13; canned=1,19,0,1,6396,0,0,0,0
at,5976,at=5976,0,0,0,0,0,275,0,5701
we,5817,we=5109; us=708,0,0,0,0,0,0,5817,0
use,5777,use=2302; used=2210; using=1120; uses=145,797,10,4970,0,0,0,0,0
or,5776,or=5776,0,0,0,0,0,0,0,5776
more,5566,more=5566,0,0,0,0,2454,3112,0,0
would,5330,would=5330,0,0,0,5330,0,0,0,0
some,5312,some=5312,0,0,0,0,0,3,0,5309
make,5284,make=2084; made=2049; making=600; makes=551,6,0,5278,0,0,0,0,0
well,5241,well=3750; better=821; best=654; wells=15; welling=1,28,3,1,0,513,2447,0,2249
other,5138,other=4578; others=560,560,2,0,0,4576,0,0,0
there,4920,there=4920,0,0,0,0,0,997,3923,0
one,4863,one=4548; ones=315,651,5,1,0,0,0,77,4129
he,4702,he=4171; him=531,0,4,0,0,0,0,4698,0
when,4648,when=4648,0,0,0,0,0,0,0,4648
will,4626,will=4423; wo=200; wills=3,9,0,0,4617,0,0,0,0
passage,4609,passage=4593; passages=16,4244,365,0,0,0,0,0,0
which,4490,which=4490,0,0,0,0,0,0,0,4490
how,4447,how=4447,1,0,0,0,0,0,0,4446
than,4362,than=4362,0,0,0,0,0,0,0,4362
people,4137,people=4018; peoples=119,4083,54,0,0,0,0,0,0
time,4068,time=3560; times=500; timed=4; timing=4,4053,6,9,0,0,0,0,0
why,3957,why=3957,0,0,0,0,0,0,0,3957
like,3888,like=3803; liked=53; likes=28; liking=4,1,0,584,0,96,1,0,3206
could,3569,could=3569,0,0,0,3569,0,0,0,0
all,3448,all=3445; alls=3,3,2,0,0,0,522,0,2921
these,3441,these=3441,0,1,0,0,0,0,0,3440
know,3288,know=2184; known=806; knew=153; knows=92; knowing=53,1,0,3285,0,0,0,0,2
because,3263,because=3263,0,0,0,0,0,6,0,3257
if,3235,if=3233; ifs=2,0,0,2,0,0,0,0,3233
think,3193,think=2112; thought=650; thinks=219; thinking=212,2,0,3191,0,0,0,0,0
water,3180,water=2992; waters=178; watered=9; watering=1,3098,61,20,0,1,0,0,0
she,3167,she=2850; her=317,0,0,0,0,0,0,3167,0
get,3123,get=1955; got=515; getting=366; gets=243; gotten=44,3,0,3120,0,0,0,0,0
out,3108,out=3108,0,0,0,0,3,146,0,2959
work,3030,work=1924; working=461; works=435; worked=210,1487,9,1532,0,2,0,0,0
different,3002,different=3002,0,3,0,0,2999,0,0,0
lecture,2959,lecture=2917; lectures=40; lecturing=2,2942,7,9,0,1,0,0,0
where,2953,where=2953,1,0,0,0,0,0,0,2952
most,2948,most=2948,0,6,0,0,1464,1478,0,0
year,2926,years=1833; year=1093,2917,9,0,0,0,0,0,0
your,2920,your=2913; yours=7,7,0,0,0,0,0,2913,0
way,2843,way=1972; ways=871,2805,7,0,0,0,31,0,0
see,2840,see=2122; seen=328; saw=245; seeing=127; sees=18,3,0,2833,0,0,0,0,4
animal,2818,animals=1999; animal=819,2798,15,2,0,3,0,0,0
find,2810,found=1474; find=1101; finding=170; finds=65,30,0,2780,0,0,0,0,0
new,2798,new=2757; newer=34; newest=7,0,404,0,0,2394,0,0,0
its,2765,its=2765,0,0,0,0,0,0,2765,0
many,2748,many=2748,0,2,0,0,2746,0,0,0
class,2727,class=2278; classes=449,2716,9,2,0,0,0,0,0
plant,2694,plants=1579; plant=1018; planted=53; planting=44,2501,15,178,0,0,0,0,0
now,2623,now=2623,0,0,0,0,0,2614,0,9
up,2552,up=2542; ups=10,20,0,0,0,2,139,0,2391
his,2534,his=2534,0,0,0,0,0,0,2534,0
first,2493,first=2493,0,57,0,0,1333,1102,0,1
into,2487,into=2487,0,0,0,0,0,0,0,2487
large,2482,large=1819; larger=531; largest=132,0,3,0,0,2477,2,0,0
just,2477,just=2477,0,0,0,0,4,2473,0,0
take,2466,take=1259; took=413; taking=326; taken=291; takes=177,2,0,2464,0,0,0,0,0
idea,2358,ideas=1428; idea=930,2356,1,1,0,0,0,0,0
change,2336,change=1118; changes=666; changed=343; changing=209,1171,16,1149,0,0,0,0,0
part,2329,part=1856; parts=473,2306,7,2,0,14,0,0,0
example,2317,example=1837; examples=480,2317,0,0,0,0,0,0,0
explain,2306,explain=2061; explains=106; explained=72; explaining=67,2,0,2304,0,0,0,0,0
point,2304,point=1275; points=978; pointed=33; pointing=18,1779,4,521,0,0,0,0,0
go,2300,go=992; going=702; went=261; gon=142; goes=133; gone=70,11,1,2288,0,0,0,0,0
need,2286,need=1422; needed=496; needs=360; needing=8,321,1,1961,3,0,0,0,0
help,2242,help=1553; helped=303; helps=259; helping=127,199,3,2039,1,0,0,0,0
also,2227,also=2227,0,0,0,0,0,2227,0,0
food,2217,food=2048; foods=169,2186,29,1,0,1,0,0,0
only,2216,only=2216,0,1,0,0,330,1885,0,0
good,2212,good=1387; goods=458; best=367,478,58,0,0,1670,2,0,4
sentence,2114,sentence=1620; sentences=494,2114,0,0,0,0,0,0,0
woman,2102,woman=1962; women=140,2102,0,0,0,0,0,0,0
may,2097,may=2097,0,27,0,2070,0,0,0,0
man,2057,man=1955; men=102,2051,6,0,0,0,0,0,0
question,2052,question=1753; questions=281; questioned=15; questioning=3,1965,2,85,0,0,0,0,0
specie,2035,species=2035,2034,0,1,0,0,0,0,0
area,2025,areas=1162; area=863,2019,5,1,0,0,0,0,0
much,2017,much=2017,0,2,0,0,1018,997,0,0
paragraph,2009,paragraph=1977; paragraphs=32,1684,303,18,0,4,0,0,0
between,1988,between=1988,1,0,0,0,0,0,0,1987
who,1978,who=1978,0,0,0,0,0,0,1978,0
look,1962,look=1201; looking=396; looked=216; looks=149,106,1,1855,0,0,0,0,0
accord,1961,according=1955; accord=4; accorded=2,4,0,1957,0,0,0,0,0
say,1939,say=1004; said=472; says=307; saying=156,5,1,1847,0,0,0,0,86
early,1937,early=1317; earlier=440; earliest=180,0,17,0,0,1483,437,0,0
art,1935,art=1826; arts=109,1850,83,1,0,1,0,0,0
study,1934,study=1147; studies=334; studying=278; studied=175,1184,9,741,0,0,0,0,0
very,1929,very=1929,0,0,0,0,39,1890,0,0
two,1923,two=1922; twos=1,1,4,0,0,0,0,0,1918
important,1910,important=1910,0,2,0,0,1908,0,0,0
item,1908,item=1731; items=177,1624,284,0,0,0,0,0,0
then,1892,then=1892,0,0,0,0,0,1892,0,0
provide,1878,provide=914; provided=629; provides=205; providing=130,0,1,1877,0,0,0,0,0
even,1824,even=1824,0,0,0,0,4,1820,0,0
right,1817,right=1793; rights=24,93,4,0,0,812,415,0,493
over,1816,over=1816,1,0,0,0,2,126,0,1687
long,1814,long=1356; longer=446; longest=12,0,10,1,0,963,840,0,0
become,1808,became=776; become=735; becomes=160; becoming=137,0,0,1808,0,0,0,0,0
earth,1785,earth=1774; earths=11,223,1562,0,0,0,0,0,0
no,1760,no=1760,10,4,0,0,0,271,0,1475
give,1753,give=806; given=310; gives=308; gave=203; giving=126,0,1,1752,0,0,0,0,0
form,1725,form=863; formed=437; forms=332; forming=93,800,6,919,0,0,0,0,0
such,1702,such=1702,0,0,0,0,1434,0,0,268
listen,1695,listen=1466; listening=221; listened=5; listens=3,1,0,1694,0,0,0,0,0
really,1682,really=1682,0,0,0,0,0,1682,0,0
live,1662,live=776; living=486; lived=323; lives=77,1,0,1566,0,89,6,0,0
transcript,1626,transcript=1625; transcripts=1,736,890,0,0,0,0,0,0
small,1623,small=1174; smaller=421; smallest=28,1,3,0,0,1619,0,0,0
during,1609,during=1609,0,0,0,0,0,0,0,1609
write,1574,write=661; writing=409; written=309; wrote=179; writes=16,1,1,1572,0,0,0,0,0
mean,1572,mean=925; means=430; meant=139; meaning=78,87,6,1470,0,9,0,0,0
lot,1560,lot=1268; lots=292,1559,1,0,0,0,0,0,0
might,1540,might=1540,1,0,0,1539,0,0,0,0
group,1533,group=893; groups=618; grouped=13; grouping=9,1494,14,25,0,0,0,0,0
come,1525,come=582; came=502; comes=234; coming=207,0,0,1524,0,1,0,0,0
same,1522,same=1522,0,1,0,0,1521,0,0,0
want,1501,want=844; wanted=435; wants=212; wanting=10,1,0,1500,0,0,0,0,0
tree,1495,trees=949; tree=546,1478,14,3,0,0,0,0,0
those,1485,those=1485,0,0,0,0,0,0,0,1485
produce,1479,produce=653; produced=533; producing=175; produces=118,35,2,1442,0,0,0,0,0
should,1457,should=1457,0,0,0,1457,0,0,0,0
great,1440,great=1045; greater=312; greatest=83,0,125,0,0,1311,0,0,4
before,1434,before=1434,0,0,1,0,0,208,0,1225
high,1432,high=1043; higher=334; highest=55,3,22,1,0,1369,37,0,0
reading,1423,reading=1399; readings=24,1257,166,0,0,0,0,0,0
express,1422,express=972; expresses=378; expressed=52; expressing=20,0,21,1398,0,3,0,0,0
call,1419,called=1020; call=273; calls=106; calling=20,109,0,1310,0,0,0,0,0
her,1419,her=1417; hers=2,2,0,0,0,0,0,1417,0
my,1415,my=1415,0,0,0,0,0,0,1413,2
show,1404,show=729; shows=247; showed=179; shown=159; showing=90,143,1,1260,0,0,0,0,0
bird,1389,birds=982; bird=407,1371,9,4,0,5,0,0,0
after,1388,after=1388,0,0,0,0,0,67,0,1321
type,1380,type=713; types=665; typed=1; typing=1,1373,1,6,0,0,0,0,0
actually,1373,actually=1373,0,0,0,0,0,1373,0,0
another,1372,another=1372,0,0,0,0,0,0,0,1372
information,1370,information=1370,1340,30,0,0,0,0,0,0
increase,1367,increase=512; increased=485; increasing=210; increases=160,281,4,1082,0,0,0,0,0
discuss,1356,discuss=652; discussing=348; discusses=185; discussed=171,0,6,1350,0,0,0,0,0
place,1356,place=742; places=444; placed=136; placing=34,1115,2,239,0,0,0,0,0
female,1355,female=1172; females=183,231,838,2,0,284,0,0,0
grow,1324,grow=543; growing=385; grew=168; grown=138; grows=90,4,1,1319,0,0,0,0,0
each,1314,each=1314,0,0,0,0,0,0,0,1314
create,1306,create=534; created=446; creating=206; creates=120,0,2,1304,0,0,0,0,0
male,1299,male=1111; males=188,245,788,0,0,266,0,0,0
thing,1271,things=693; thing=578,1271,0,0,0,0,0,0,0
select,1266,select=828; selecting=381; selected=56; selects=1,0,3,900,0,363,0,0,0
century,1265,century=1023; centuries=242,1251,13,0,0,1,0,0,0
human,1254,human=712; humans=542,576,12,1,0,665,0,0,0
suggest,1254,suggest=593; suggests=443; suggested=149; suggesting=69,2,0,1252,0,0,0,0,0
close,1251,closest=607; close=396; closer=174; closed=50; closing=15; closes=9,9,3,111,0,913,215,0,0
cause,1230,cause=457; caused=456; causes=194; causing=123,191,1,1036,0,0,0,0,2
present,1219,presented=569; present=416; presents=201; presenting=33,33,4,897,0,285,0,0,0
our,1217,our=1213; ours=4,4,0,0,0,0,0,1213,0
system,1217,system=924; systems=293,1207,10,0,0,0,0,0,0
less,1215,less=1204; lesser=11,0,0,0,0,522,693,0,0
choice,1210,choices=1081; choice=129,1208,2,0,0,0,0,0,0
through,1204,through=1204,0,0,0,0,0,33,0,1171
often,1203,often=1203,0,0,0,0,0,1203,0,0
research,1202,research=1150; researching=29; researched=18; researches=5,1067,57,78,0,0,0,0,0
read,1197,read=670; reading=521; reads=6,6,7,1184,0,0,0,0,0
following,1196,following=1196,649,0,0,0,547,0,0,0
researcher,1183,researchers=1112; researcher=71,1181,2,0,0,0,0,0,0
play,1182,play=641; plays=260; played=163; playing=118,578,2,598,0,4,0,0,0
